"TOA5","opticos","CR6","2749","CR6.Std.11.01","CPU:Opticos20220511.CR6","58240","Cielometro"
"TIMESTAMP","RECORD","PrimeraBase_m","SegundaBase_m","TerceraBase_m","CuartaBase_m","PrimeraCapa_octas","SegundaCapa_octas","TerceraCapa_octas","CuartaCapa_octas","QuintaCapa_octas","PrimeraAlturaCobertura_m","SegundaAlturaCobertura_m","TerceraAlturaCobertura_m","CuartaAlturaCobertura_m","QuintaAlturaCobertura_m","CS135Status","AlarmFlags"
"TS","RN","meters","meters","meters","meters","oktas","oktas","oktas","oktas","oktas","meters","meters","meters","meters","meters","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-08-11 00:34:30",2584982,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:34:45",2584983,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:35:00",2584984,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:35:15",2584985,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:35:30",2584986,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:35:45",2584987,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:36:00",2584988,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:36:15",2584989,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:36:30",2584990,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:36:45",2584991,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:37:00",2584992,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:37:15",2584993,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:37:30",2584994,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:37:45",2584995,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:38:00",2584996,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:38:15",2584997,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:38:30",2584998,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:38:45",2584999,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:39:00",2585000,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:39:15",2585001,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:39:30",2585002,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:39:45",2585003,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:40:00",2585004,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:40:15",2585005,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:40:30",2585006,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:40:45",2585007,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:41:00",2585008,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:41:15",2585009,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:41:30",2585010,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:41:45",2585011,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:42:00",2585012,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:42:15",2585013,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:42:30",2585014,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:42:45",2585015,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:43:00",2585016,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:43:15",2585017,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:43:30",2585018,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:43:45",2585019,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:44:00",2585020,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:44:15",2585021,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:44:30",2585022,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:44:45",2585023,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:45:00",2585024,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 0W","004000000000 "
"2023-08-11 00:45:15",2585025,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:45:30",2585026,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:45:45",2585027,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
"2023-08-11 00:46:00",2585028,"NAN","NAN","NAN","NAN",0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN"," 6W","004000000000 "
